energy,tempo,danceability,playlist_genre,loudness,liveness,valence,track_artist,time_signature,speechiness,track_popularity,track_album_name,playlist_name,track_name,track_album_release_date,instrumentalness,mode,key,duration_ms,acousticness,playlist_subgenre
0.917,100.987,0.562,pop,-2.768,0.488,0.501,Lady Gaga,4,0.117,86,Disease,Today's Top Hits,Disease,10/25/2024,0,0,11,229997,0.0513,mainstream
0.787,109.939,0.734,pop,-3.951,0.312,0.672,LISA,4,0.116,82,Moonlit Floor (Kiss Me),Today's Top Hits,Moonlit Floor (Kiss Me),10/8/2024,0,0,5,155757,0.126,mainstream
0.843,122.064,0.619,pop,-5.348,0.164,0.746,Morgan Wallen,4,0.0284,86,Love Somebody,Today's Top Hits,Love Somebody,10/18/2024,0.000118,0,5,204829,0.00948,mainstream
0.406,115.94,0.53,pop,-7.507,0.133,0.338,Gracie Abrams,3,0.033,90,The Secret of Us,Today's Top Hits,"I Love You, I'm Sorry",6/21/2024,0,1,10,157147,0.656,mainstream
0.782,119.992,0.727,pop,-8.529,0.225,0.655,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",4,0.042,86,Move,Today's Top Hits,Move,6/7/2024,0.336,0,8,177599,0.0563,mainstream
0.812,80.09,0.505,pop,-3.986,0.444,0.664,"Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",4,0.461,88,CHROMAKOPIA,Today's Top Hits,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",10/28/2024,0,1,1,255916,0.285,mainstream
0.76,103.969,0.701,pop,-5.478,0.185,0.69,Sabrina Carpenter,4,0.0285,90,Espresso,Today's Top Hits,Espresso,4/12/2024,6.54E-05,1,0,175459,0.107,mainstream
0.725,116.988,0.894,pop,-4.984,0.0815,0.838,JENNIE,4,0.0432,89,Mantra,Today's Top Hits,Mantra,10/10/2024,1.15E-05,0,10,136627,0.00434,mainstream
0.563,105.008,0.833,pop,-5.593,0.139,0.343,"Rauw Alejandro, Bad Bunny",4,0.204,82,Cosa Nuestra,Today's Top Hits,Qué Pasaría...,11/15/2024,1.27E-05,0,4,182857,0.528,mainstream
0.628,119.98,0.757,pop,-6.715,0.221,0.321,Don Toliver,4,0.101,85,HARDSTONE PSYCHO,Today's Top Hits,NEW DROP,6/14/2024,0.0209,0,4,217333,0.189,mainstream
0.855,127.986,0.638,pop,-4.86,0.245,0.731,"Post Malone, Morgan Wallen",4,0.0264,84,I Had Some Help,Today's Top Hits,I Had Some Help (Feat. Morgan Wallen),5/10/2024,0,1,7,178206,0.00757,mainstream
0.62,117.038,0.741,pop,-5.505,0.0398,0.934,Hozier,4,0.0412,77,Unheard,Today's Top Hits,Too Sweet,3/22/2024,0.000809,1,10,251424,0.0295,mainstream
0.339,97.989,0.705,pop,-10.612,0.12,0.457,The Marías,4,0.0278,84,Submarine,Today's Top Hits,No One Noticed,5/31/2024,0.0814,1,7,236907,0.552,mainstream
0.651,112.648,0.694,pop,-6.968,0.0787,0.471,"Oscar Maydon, Fuerza Regida",3,0.0784,93,Tu Boda,Today's Top Hits,Tu Boda,9/26/2024,1.36E-05,1,6,225881,0.496,mainstream
0.601,123.994,0.635,pop,-6.129,0.11,0.332,Myles Smith,4,0.0295,88,Stargazing,Today's Top Hits,Stargazing,5/10/2024,0,0,1,172533,0.246,mainstream
0.691,167.029,0.836,pop,-4.222,0.282,0.703,"GloRilla, Sexyy Red",4,0.363,70,WHATCHU KNO ABOUT ME (with Sexyy Red),Today's Top Hits,WHATCHU KNO ABOUT ME (with Sexyy Red),10/10/2024,0,1,1,149461,0.00586,mainstream
0.646,115.842,0.645,pop,-8.334,0.074,0.295,Ariana Grande,4,0.0427,81,eternal sunshine,Today's Top Hits,we can't be friends (wait for your love),3/8/2024,3.04E-05,1,5,228639,0.0615,mainstream
0.471,105.029,0.472,pop,-5.692,0.14,0.219,Benson Boone,3,0.0603,85,Beautiful Things,Today's Top Hits,Beautiful Things,1/18/2024,0,1,10,180304,0.151,mainstream
0.709,194.055,0.744,pop,-5.778,0.0847,0.712,"Myke Towers, benny blanco",4,0.284,84,LA PANTERA NEGRA (DELUXE),Today's Top Hits,DEGENERE 👑 (feat. benny blanco),10/17/2024,0,0,6,130880,0.0501,mainstream
0.904,167.033,0.739,pop,-2.655,0.0948,0.788,KATSEYE,4,0.0442,85,Touch,Today's Top Hits,Touch,7/26/2024,1.03E-05,0,5,129883,0.549,mainstream
0.604,159.92,0.561,pop,-4.409,0.104,0.242,Teddy Swims,3,0.0337,89,I've Tried Everything But Therapy (Part 1),Today's Top Hits,Lose Control,9/15/2023,1.90E-05,1,9,210689,0.199,mainstream
0.668,90.969,0.646,pop,-5.203,0.212,0.64,Mark Ambor,4,0.0282,82,Belong Together,Today's Top Hits,Belong Together,2/16/2024,0,1,2,148318,0.491,mainstream
0.668,128.027,0.924,pop,-6.795,0.0678,0.787,KAROL G,4,0.0469,93,Si Antes Te Hubiera Conocido,Today's Top Hits,Si Antes Te Hubiera Conocido,6/21/2024,0.000594,1,11,195824,0.446,mainstream
0.454,159.982,0.689,pop,-7.643,0.0707,0.912,Djo,4,0.0584,89,DECIDE,Today's Top Hits,End of Beginning,9/16/2022,0.00259,1,2,159246,0.0351,mainstream
0.386,192.004,0.504,pop,-10.976,0.0961,0.281,"Taylor Swift, Post Malone",4,0.0308,84,THE TORTURED POETS DEPARTMENT,Today's Top Hits,Fortnight (feat. Post Malone),4/18/2024,1.53E-05,1,11,228965,0.502,mainstream
0.681,155.079,0.56,pop,-6.304,0.106,0.388,"Omar Courtz, De La Rose",4,0.244,89,PRIMERA MUSA,Today's Top Hits,Q U E V A S H A C E R H O Y ?,9/20/2024,0,0,6,223320,0.103,mainstream
0.472,101.061,0.898,pop,-7.001,0.141,0.214,Kendrick Lamar,4,0.0776,88,Not Like Us,Today's Top Hits,Not Like Us,5/4/2024,0,1,1,274192,0.0107,mainstream
0.711,146.921,0.487,pop,-4.22,0.152,0.317,Jin,4,0.0322,85,Happy,Today's Top Hits,Running Wild,11/15/2024,0,1,8,151647,0.000175,mainstream
0.712,91.98,0.848,pop,-3.574,0.106,0.692,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",4,0.0981,84,57,Today's Top Hits,57,11/8/2024,0,0,1,298131,0.221,mainstream
0.645,114.933,0.882,pop,-7.233,0.057,0.788,Ndotz,4,0.0601,87,Embrace It,Today's Top Hits,Embrace It,8/23/2024,4.13E-05,1,1,104419,0.475,mainstream
0.872,184.115,0.466,pop,-3.344,0.121,0.806,Linkin Park,4,0.0336,89,The Emptiness Machine,Today's Top Hits,The Emptiness Machine,9/5/2024,0,1,7,190428,0.0156,mainstream
0.756,116.034,0.66,pop,-3.743,0.193,0.838,Jimin,4,0.032,92,MUSE,Today's Top Hits,Who,7/19/2024,0,0,0,170888,0.00289,mainstream
0.508,147.125,0.579,rock,-9.484,0.0575,0.609,Eagles,4,0.027,81,Hotel California (2013 Remaster),Rock Classics,Hotel California - 2013 Remaster,12/8/1976,0.000494,1,2,391376,0.00574,classic
0.89,133.52,0.502,rock,-5.175,0.217,0.259,AC/DC,4,0.0364,83,The Razors Edge,Rock Classics,Thunderstruck,9/24/1990,0.0117,1,4,292880,0.000147,classic
0.446,123.596,0.743,rock,-7.807,0.337,0.278,The White Stripes,4,0.0683,82,Elephant,Rock Classics,Seven Nation Army,4/1/2003,0.118,0,4,232107,0.0039,classic
0.43,91.844,0.515,rock,-9.935,0.129,0.104,Radiohead,4,0.0372,86,Pablo Honey,Rock Classics,Creep,2/22/1993,0.000133,1,7,238640,0.0097,classic
0.824,120.125,0.5,rock,-5.846,0.0916,0.539,Nirvana,4,0.0388,76,Nevermind (Remastered),Rock Classics,Come As You Are,9/26/1991,0.00161,0,4,218920,0.00016,classic
0.767,96.483,0.592,rock,-2.788,0.127,0.328,Red Hot Chili Peppers,4,0.027,81,Californication (Deluxe Edition),Rock Classics,Californication,6/8/1999,0.00165,0,9,329733,0.0021,classic
0.952,125.304,0.445,rock,-5.321,0.112,0.624,Guns N' Roses,4,0.0522,84,Appetite For Destruction,Rock Classics,Sweet Child O' Mine,7/21/1987,0.0843,1,6,356067,0.09,classic
0.795,158.691,0.464,rock,-9.267,0.399,0.612,The Rolling Stones,4,0.0926,81,Aftermath,Rock Classics,"Paint It, Black",4/15/1966,0.00244,1,1,202267,0.0493,classic
0.492,120.151,0.828,rock,-9.744,0.128,0.789,Fleetwood Mac,4,0.0276,84,Rumours (Super Deluxe),Rock Classics,Dreams - 2004 Remaster,2/4/1977,0.00428,1,0,257800,0.0644,classic
0.881,158.066,0.413,rock,-5.541,0.0805,0.364,Foo Fighters,4,0.0367,81,The Colour And The Shape,Rock Classics,Everlong,5/20/1997,0.000308,0,11,250547,5.99E-05,classic
0.716,94.379,0.535,rock,-5.025,0.659,0.901,Joan Jett & the Blackhearts,4,0.0431,77,I Love Rock 'N' Roll (Expanded Edition),Rock Classics,I Love Rock 'N Roll,11/18/1981,0,1,4,175173,0.326,classic
0.322,93.503,0.475,rock,-10.687,0.11,0.387,Kansas,4,0.0283,79,Point Of Know Return (Expanded Edition),Rock Classics,Dust in the Wind,1977,0.00056,1,7,206267,0.367,classic
0.394,104.114,0.693,rock,-15.882,0.247,0.721,Pink Floyd,4,0.0428,74,The Wall,Rock Classics,"Another Brick in the Wall, Pt. 2",11/30/1979,0.000694,1,0,238747,0.0782,classic
0.899,152.445,0.475,rock,-4.321,0.14,0.603,Bon Jovi,4,0.0637,72,Bon Jovi,Rock Classics,Runaway,1/23/1984,1.91E-05,0,9,230667,0.00375,classic
0.943,85.064,0.442,rock,-3.205,0.091,0.781,Green Day,4,0.0602,80,Dookie,Rock Classics,Basket Case,2/1/1994,8.71E-06,1,3,181533,0.00293,classic
0.345,84.581,0.559,rock,-13.496,0.141,0.458,Red Hot Chili Peppers,4,0.0459,82,Blood Sugar Sex Magik (Deluxe Edition),Rock Classics,Under the Bridge,9/24/1991,0.000105,1,4,264307,0.0576,classic
0.814,147.193,0.673,rock,-5.411,0.343,0.728,Billy Idol,4,0.0367,70,Billy Idol,Rock Classics,White Wedding - Pt. 1,1/1/1982,0.00293,1,9,252200,0.0134,classic
0.767,127.361,0.532,rock,-5.509,0.39,0.755,AC/DC,4,0.0574,81,Back In Black,Rock Classics,You Shook Me All Night Long,7/25/1980,0.000513,1,7,210173,0.00287,classic
0.863,136.302,0.723,rock,-7.89,0.128,0.931,The Rolling Stones,4,0.0338,76,Out Of Our Heads,Rock Classics,(I Can't Get No) Satisfaction - Mono Version,7/30/1965,0.0317,1,2,222813,0.0383,classic
0.449,100.456,0.486,rock,-10.298,0.54,0.549,David Bowie,4,0.0267,76,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),Rock Classics,Starman - 2012 Remaster,6/6/1972,2.23E-06,1,5,254293,0.166,classic
0.902,89.74,0.412,rock,-11.6,0.405,0.422,Led Zeppelin,4,0.405,72,Led Zeppelin II (1994 Remaster),Rock Classics,Whole Lotta Love - 1990 Remaster,10/22/1969,0.131,1,9,333893,0.0484,classic
0.722,103.886,0.55,rock,-11.729,0.11,0.716,The Doors,4,0.0283,70,L.A. Woman,Rock Classics,Riders on the Storm,4/19/1971,0.0129,0,11,434720,0.25,classic
0.944,105.338,0.394,rock,-6.506,0.298,0.265,Pearl Jam,4,0.0761,77,Ten,Rock Classics,Even Flow,8/27/1991,4.54E-06,0,10,292581,0.00178,classic
0.952,122.093,0.398,rock,-6.042,0.1,0.584,Bruce Springsteen,4,0.061,72,Born In The U.S.A.,Rock Classics,Born in the U.S.A.,6/4/1984,7.75E-05,1,4,278680,0.000373,classic
0.917,171.176,0.356,rock,-6.006,0.406,0.518,The Verve,4,0.0479,79,Urban Hymns (Remastered 2016),Rock Classics,Bitter Sweet Symphony - Remastered 2016,9/29/1997,0,1,9,357267,0.0335,classic
0.589,124.634,0.455,rock,-8.64,0.104,0.254,Guns N' Roses,4,0.0328,75,Use Your Illusion I,Rock Classics,Don't Cry (Original),9/17/1991,0.00358,1,11,283733,0.00184,classic
0.805,113.253,0.438,rock,-6.237,0.0842,0.564,Jimi Hendrix,4,0.0624,72,Electric Ladyland,Rock Classics,All Along the Watchtower,10/25/1968,5.69E-05,1,8,240800,0.00255,classic
0.239,189.507,0.446,rock,-13.945,0.0697,0.298,Phil Collins,4,0.0316,76,Face Value (Deluxe Editon),Rock Classics,In The Air Tonight - 2015 Remastered,1/1/1981,4.10E-06,1,0,336453,0.551,classic
0.521,123.118,0.721,rock,-8.123,0.127,0.942,Talking Heads,4,0.0613,76,Talking Heads '77 (Deluxe Version),Rock Classics,Psycho Killer - 2005 Remaster,9/16/1977,0.00545,1,2,261413,0.0708,classic
0.67,129.269,0.619,rock,-10.322,0.331,0.777,Lenny Kravitz,4,0.0353,71,Are You Gonna Go My Way,Rock Classics,Are You Gonna Go My Way,3/9/1993,0.0109,0,11,211933,0.00165,classic
0.828,105.25,0.539,rock,-9.108,0.154,0.562,Metallica,4,0.035,70,Master of Puppets (Remastered Deluxe Box Set),Rock Classics,Master of Puppets (Remastered),3/3/1986,0.421,0,4,515387,0.00067,classic
0.487,114.965,0.73,rock,-10.991,0.0852,0.731,Fleetwood Mac,4,0.0303,79,Tango In the Night (Deluxe Edition),Rock Classics,Everywhere - 2017 Remaster,4/13/1987,0.01,1,4,226653,0.258,classic
0.697,116.109,0.741,rock,-7.028,0.133,0.774,Creedence Clearwater Revival,4,0.0277,84,Pendulum (Expanded Edition),Rock Classics,Have You Ever Seen The Rain,12/7/1970,2.28E-05,1,0,160133,0.0664,classic
0.579,127.215,0.62,rock,-9.307,0.0858,0.691,The Cars,4,0.0473,69,The Cars,Rock Classics,Just What I Needed,6/6/1978,6.40E-05,1,4,225627,0.0152,classic
0.912,116.761,0.502,rock,-4.556,0.106,0.72,Nirvana,4,0.0564,76,Nevermind (Remastered),Rock Classics,Smells Like Teen Spirit,9/26/1991,0.000173,1,1,301920,2.55E-05,classic
0.833,88.785,0.466,rock,-4.215,0.0327,0.661,Rage Against The Machine,4,0.304,78,Rage Against The Machine - XX (20th Anniversary Special Edition),Rock Classics,Killing In The Name,1992,0,1,7,313573,0.0266,classic
0.376,164.775,0.53,rock,-11.913,0.0926,0.188,The Beatles,4,0.04,75,Abbey Road (Remastered),Rock Classics,Come Together - Remastered 2009,9/26/1969,0.247,0,9,259947,0.0304,classic
0.786,126.755,0.482,rock,-5.735,0.446,0.793,Kansas,4,0.032,73,Leftoverture (Expanded Edition),Rock Classics,Carry on Wayward Son,1976,8.88E-05,1,7,323000,0.00321,classic
0.789,129.802,0.674,rock,-6.903,0.0753,0.918,Blur,4,0.0676,78,Blur (Special Edition),Rock Classics,Song 2 - 2012 Remaster,2/10/1997,0.00708,1,8,121160,0.00178,classic
0.441,81.334,0.519,rock,-14.178,0.076,0.25,Pixies,4,0.0353,76,Surfer Rosa (2007 Remaster),Rock Classics,Where Is My Mind? - 2007 Remaster,3/21/1988,0.000453,1,4,234973,0.0204,classic
0.836,113.375,0.743,rock,-6.465,0.384,0.82,The Clash,4,0.116,80,Combat Rock (Remastered),Rock Classics,Should I Stay or Should I Go - Remastered,1982,0,1,2,188987,0.0804,classic
0.528,109.975,0.932,rock,-6.472,0.163,0.757,Queen,4,0.161,71,The Game (Deluxe Remastered Version),Rock Classics,Another One Bites The Dust - Remastered 2011,6/27/1980,0.329,0,5,214653,0.115,classic
0.905,128.019,0.602,rock,-4.046,0.117,0.411,Muse,4,0.0775,75,The Resistance,Rock Classics,Uprising,9/10/2009,0.064,1,2,304840,0.000202,classic
0.519,98.883,0.653,rock,-10.164,0.101,0.822,Buffalo Springfield,4,0.0497,76,Buffalo Springfield,Rock Classics,For What It's Worth,12/5/1966,0.0209,1,2,153693,0.406,classic
0.946,138.18,0.454,rock,-5.978,0.173,0.647,Van Halen,4,0.13,68,Van Halen (Remastered),Rock Classics,You Really Got Me - 2015 Remaster,2/10/1978,0,0,1,156147,0.0223,classic
0.828,105.435,0.35,rock,-5.373,0.0774,0.147,Soundgarden,4,0.041,76,Superunknown (Deluxe Edition),Rock Classics,Black Hole Sun,3/9/1994,0.000161,1,6,318587,0.000217,classic
0.349,124.348,0.489,rock,-14.295,0.0866,0.622,Santana,4,0.0323,70,Santana's Greatest Hits,Rock Classics,Black Magic Woman - Single Version,7/1/1994,0.0789,0,2,196467,0.676,classic
0.872,159.925,0.587,rock,-5.066,0.622,0.735,Lenny Kravitz,4,0.0484,73,5,Rock Classics,Fly Away,5/12/1998,0,1,7,221333,0.018,classic
0.808,151.008,0.577,rock,-7.04,0.221,0.869,The Police,4,0.039,75,Reggatta De Blanc (Remastered 2003),Rock Classics,Message In A Bottle,10/2/1979,1.33E-05,0,1,290280,0.0338,classic
0.758,112.113,0.489,rock,-6.491,0.092,0.435,David Bowie,4,0.0297,72,"""Heroes"" (2017 Remaster)",Rock Classics,Heroes - 2017 Remaster,1977,0.49,1,7,371413,0.000678,classic
0.932,112.937,0.564,rock,-10.068,0.349,0.619,Led Zeppelin,4,0.0554,75,Led Zeppelin III (Remaster),Rock Classics,Immigrant Song - Remaster,1970,0.169,1,11,146250,0.013,classic
0.338,177.765,0.388,rock,-10.054,0.248,0.478,Electric Light Orchestra,4,0.0329,76,Out of the Blue,Rock Classics,Mr. Blue Sky,1977,3.73E-06,1,10,303373,0.652,classic
0.7,188.386,0.31,rock,-5.678,0.0828,0.763,AC/DC,4,0.047,83,Back In Black,Rock Classics,Back In Black,7/25/1980,0.00965,1,9,255493,0.011,classic
0.691,137.145,0.548,rock,-13.553,0.144,0.667,Heart,4,0.0369,74,Little Queen,Rock Classics,Barracuda,5/14/1977,0.106,0,4,261933,0.015,classic
0.532,136.576,0.601,rock,-9.119,0.0925,0.342,Elton John,4,0.0286,79,Honky Chateau,Rock Classics,"Rocket Man (I Think It's Going To Be A Long, Long Time)",5/19/1972,5.95E-06,1,10,281613,0.433,classic
0.641,203.006,0.256,rock,-10.283,0.0853,0.382,Nirvana,4,0.0552,79,In Utero (Deluxe Edition),Rock Classics,Heart-Shaped Box,9/21/1993,0.0329,1,1,281160,0.199,classic
0.755,109.535,0.667,rock,-7.246,0.0523,0.883,Eagles,4,0.069,68,Hotel California (2013 Remaster),Rock Classics,Life in the Fast Lane - 2013 Remaster,12/8/1976,6.94E-05,1,9,286220,0.0966,classic
0.373,92.718,0.671,rock,-18.064,0.0481,0.732,TOTO,4,0.0323,83,Toto IV,Rock Classics,Africa,4/8/1982,8.01E-05,1,9,295893,0.257,classic
0.927,141.466,0.333,rock,-8.55,0.297,0.385,Blue Öyster Cult,4,0.0733,75,Agents Of Fortune,Rock Classics,(Don't Fear) The Reaper,1976,0.000208,0,9,308120,0.0029,classic
0.787,126.879,0.767,rock,-9.897,0.0513,0.964,The Smashing Pumpkins,4,0.0331,77,Mellon Collie And The Infinite Sadness (Deluxe Edition),Rock Classics,1979 - Remastered 2012,1995,0.583,1,3,266200,0.0163,classic
0.366,127.163,0.472,rock,-12.595,0.0837,0.171,Pink Floyd,4,0.0286,71,The Wall,Rock Classics,Comfortably Numb,11/30/1979,0.312,0,11,382297,0.15,classic
0.864,81.394,0.437,rock,-7.842,0.242,0.749,Led Zeppelin,4,0.0904,69,Led Zeppelin IV (Deluxe Edition),Rock Classics,Black Dog - Remaster,11/8/1971,0.0314,0,4,295387,0.396,classic
0.584,170.411,0.509,rock,-4.907,0.384,0.685,Queens of the Stone Age,4,0.057,69,Songs For The Deaf,Rock Classics,No One Knows,1/1/2002,9.96E-05,1,0,278747,0.0368,classic
0.912,117.399,0.575,rock,-7.275,0.0562,0.843,The Doobie Brothers,4,0.0393,69,The Captain and Me,Rock Classics,Long Train Runnin',1973,0.00211,0,7,207267,0.0916,classic
0.611,85.387,0.654,rock,-10.45,0.405,0.786,Beck,4,0.119,69,Mellow Gold,Rock Classics,Loser,3/1/1994,0.000178,1,2,235000,0.0337,classic
0.482,138.453,0.529,rock,-11.709,0.0842,0.492,Don McLean,4,0.0599,74,American Pie,Rock Classics,American Pie,1971,0,0,4,516893,0.7,classic
0.748,134.114,0.618,rock,-8.905,0.0473,0.663,The Police,4,0.358,77,Outlandos D'Amour (Remastered 2003),Rock Classics,Roxanne,11/2/1978,4.10E-06,1,0,191947,0.0384,classic
0.7,147.245,0.586,rock,-9.558,0.0318,0.897,The Knack,4,0.0363,69,Get The Knack,Rock Classics,My Sharona,1/1/1979,0.00125,1,0,295400,0.0589,classic
0.318,104.522,0.575,rock,-16.729,0.0934,0.385,Lou Reed,4,0.109,74,Transformer,Rock Classics,Walk On the Wild Side,12/1/1972,0.000202,1,0,254173,0.683,classic
0.706,80.823,0.445,rock,-9.803,0.205,0.768,Thin Lizzy,4,0.0461,70,Jailbreak (Deluxe Edition),Rock Classics,The Boys Are Back In Town,1976,0.000252,1,8,266720,0.234,classic
0.913,115.728,0.574,rock,-4.793,0.156,0.423,AC/DC,4,0.133,84,Highway to Hell,Rock Classics,Highway to Hell,7/27/1979,0.00158,0,6,208400,0.061,classic
0.495,124.936,0.532,rock,-6.662,0.0754,0.308,Billy Joel,4,0.0343,79,The Stranger (Legacy Edition),Rock Classics,Vienna,1977,0,1,10,214240,0.659,classic
0.875,75.009,0.284,rock,-6.069,0.402,0.595,Pearl Jam,4,0.0422,73,Ten,Rock Classics,Alive,8/27/1991,0.000461,0,11,340907,0.00752,classic
0.737,103.867,0.662,rock,-9.54,0.119,0.744,Tina Turner,4,0.0296,69,Foreign Affair,Rock Classics,The Best,9/13/1989,0.0191,1,0,329800,0.108,classic
0.936,91.577,0.666,rock,-9.919,0.153,0.776,Red Hot Chili Peppers,4,0.0476,72,Blood Sugar Sex Magik (Deluxe Edition),Rock Classics,Give It Away,9/24/1991,0.086,1,7,282907,0.00244,classic
0.432,94.605,0.475,rock,-7.844,0.161,0.648,Green Day,4,0.0302,79,Nimrod,Rock Classics,Good Riddance (Time of Your Life),10/14/1997,0,1,7,153467,0.183,classic
0.549,176.941,0.516,rock,-13.741,0.184,0.907,Don Henley,4,0.0373,73,Building The Perfect Beast,Rock Classics,The Boys Of Summer,11/19/1984,0.00572,1,6,288733,0.501,classic
0.751,89.839,0.421,rock,-9.584,0.17,0.789,The Doors,4,0.0472,72,The Doors,Rock Classics,Break on Through (To the Other Side),1/4/1967,0,1,9,145867,0.2,classic
0.938,168.131,0.324,rock,-7.332,0.0961,0.543,Beastie Boys,4,0.102,71,Ill Communication,Rock Classics,Sabotage,5/23/1994,0.0321,0,6,178440,0.032,classic
0.953,84.989,0.267,rock,-4.899,0.283,0.568,Def Leppard,4,0.096,72,Hysteria (Super Deluxe),Rock Classics,Pour Some Sugar On Me - Remastered 2017,8/3/1987,0,0,1,267307,0.00211,classic
0.919,135.997,0.465,rock,-4.025,0.262,0.537,Foo Fighters,4,0.0408,73,There Is Nothing Left To Lose,Rock Classics,Learn to Fly,11/2/1999,2.07E-05,1,4,235293,1.83E-05,classic
0.58,127.402,0.741,rock,-9.05,0.212,0.944,Pat Benatar,4,0.0304,70,Crimes Of Passion,Rock Classics,Hit Me With Your Best Shot,8/5/1980,3.61E-05,1,4,171267,0.117,classic
0.72,121.864,0.404,rock,-9.18,0.0466,0.475,The Smashing Pumpkins,4,0.0623,73,Mellon Collie And The Infinite Sadness (Deluxe Edition),Rock Classics,Bullet With Butterfly Wings - Remastered 2012,1995,0.836,0,10,258467,5.59E-05,classic
0.927,170.814,0.215,rock,-7.327,0.126,0.49,Stone Temple Pilots,4,0.0452,72,Purple (2019 Remaster),Rock Classics,Interstate Love Song - 2019 Remaster,6/7/1994,0.00661,1,9,194853,0.000273,classic
0.801,133.769,0.651,rock,-7.34,0.0825,0.776,The Clash,4,0.0514,70,London Calling (Remastered),Rock Classics,London Calling - Remastered,1979,0,1,0,200480,0.123,classic
0.262,122.861,0.481,rock,-15.73,0.832,0.375,Pink Floyd,4,0.0414,75,Wish You Were Here,Rock Classics,Wish You Were Here,9/12/1975,0.0114,1,7,334744,0.735,classic
0.449,84.383,0.623,rock,-13.333,0.0613,0.573,Tom Petty,4,0.0253,75,Full Moon Fever,Rock Classics,Free Fallin',1/1/1989,0,1,5,256000,0.212,classic
0.476,148.117,0.389,rock,-9.342,0.255,0.566,Blind Melon,4,0.0316,73,Blind Melon,Rock Classics,No Rain,1/1/1992,5.09E-05,1,9,217107,0.619,classic
